order_id,user_id,dish_name,toppings_selected,addons_selected,season,order_date,quantity,total_price,profit_margin
29,1014.0,Vada Pav,['Dahi'],['French Fries'],Diwali,2023-01-12,5,670,214.28
30,1018.0,Idli Sambar,"['Coriander', 'Onion']",['Cold Drink'],Diwali,2023-02-03,2,182,40.61
31,1010.0,Chole Bhature,"['Coriander', 'Tomato', 'Cheese']",[],Christmas,2024-07-22,1,164,37.25
32,1091.0,Idli Sambar,['Coriander'],['French Fries'],Holi,2023-06-22,1,138,47.01
33,1016.0,Chole Bhature,['Coriander'],[],Summer,2023-12-01,5,455,110.73
34,1078.0,Masala Dosa,[],"['Chutney', 'Extra Cheese']",Christmas,2024-05-03,4,564,202.17
35,1058.0,Pav Bhaji,[],"['French Fries', 'Cold Drink']",Holi,2024-03-14,5,740,276.8
36,1061.0,Idli Sambar,"['Anar Seeds', 'Onion']","['Chutney', 'Cold Drink']",Navratri,2023-08-13,5,555,213.92
37,1086.0,Masala Dosa,"['Anar Seeds', 'Onion']",[],Navratri,2024-01-28,5,405,91.2
38,1070.0,Pani Puri,['Butter'],"['Extra Cheese', 'Cold Drink']",Winter,2023-10-28,2,360,115.27
39,1032.0,Pani Puri,"['Onion', 'Butter']","['Papad', 'Ice Cream']",Navratri,2024-08-23,5,905,283.12
40,1041.0,Bhel,"['Dahi', 'Cheese']",['Chutney'],Rainy,2024-06-05,1,98,24.88
41,1048.0,Chole Bhature,[],['Ice Cream'],Rainy,2023-04-08,5,835,267.28
42,1082.0,Pani Puri,['Anar Seeds'],['Ice Cream'],Diwali,2023-05-26,2,178,44.03
43,,Idli Sambar,"['Butter', 'Tomato', 'Dahi']",[],Rainy,2023-07-27,3,303,76.52
44,1014.0,Bhel,"['Anar Seeds', 'Cheese', 'Butter']",['Papad'],Summer,2023-07-23,3,570,222.32
45,1045.0,Chole Bhature,['Coriander'],"['Papad', 'French Fries']",Winter,2023-08-04,4,496,188.74
46,1093.0,Vada Pav,['Anar Seeds'],[],Diwali,2024-04-15,4,556,170.07
47,1001.0,Idli Sambar,"['Cheese', 'Dahi']",['Extra Cheese'],Holi,2024-05-16,4,572,164.82
48,1030.0,Bhel,"['Anar Seeds', 'Dahi']","['French Fries', 'Papad']",Holi,2023-08-23,4,560,184.77
49,1002.0,Masala Dosa,"['Cheese', 'Butter', 'Coriander']","['Cold Drink', 'French Fries']",Diwali,2024-01-14,4,812,169.28
50,,Vada Pav,"['Anar Seeds', 'Butter']",[],Winter,2024-04-05,3,474,144.27
51,1064.0,Sev Puri,"['Cheese', 'Onion']",['Extra Cheese'],Holi,2024-06-12,3,309,112.72
52,,Sev Puri,"['Onion', 'Cheese']",[],Rainy,2023-09-30,3,234,92.59
53,1022.0,Pani Puri,[],"['Papad', 'Extra Cheese']",Navratri,2023-06-06,1,162,40.11
54,1082.0,Masala Dosa,"['Tomato', 'Dahi', 'Anar Seeds']",[],Rainy,2024-04-23,2,238,56.92
55,1025.0,Bhel,"['Tomato', 'Coriander', 'Dahi']",[],Summer,2023-11-09,3,477,119.82
56,,Pani Puri,[],['French Fries'],Winter,2023-02-17,5,415,116.77
57,,Pav Bhaji,"['Anar Seeds', 'Butter', 'Tomato']",[],Winter,2023-01-14,2,294,102.63
58,1064.0,Vada Pav,"['Coriander', 'Dahi']",[],Navratri,2023-11-21,3,462,150.54
59,1002.0,Vada Pav,"['Tomato', 'Coriander', 'Cheese']",[],Rainy,2023-08-09,4,468,162.67
60,1083.0,Bhel,['Coriander'],['Ice Cream'],Holi,2023-12-20,5,630,234.43
61,1087.0,Sev Puri,[],[],Summer,2023-01-08,4,548,176.77
62,1086.0,Masala Dosa,[],"['Ice Cream', 'Papad']",Diwali,2024-02-24,1,174,49.37
63,1017.0,Idli Sambar,['Butter'],"['Papad', 'Cold Drink']",Navratri,2023-04-22,5,840,300.71
64,1009.0,Vada Pav,[],['Extra Cheese'],Diwali,2024-04-01,2,240,88.42
65,1041.0,Idli Sambar,"['Anar Seeds', 'Coriander']",['Chutney'],Navratri,2023-05-17,5,640,177.09
66,,Vada Pav,['Coriander'],"['French Fries', 'Ice Cream']",Winter,2023-02-09,5,915,236.61
67,1093.0,Idli Sambar,['Butter'],['French Fries'],Holi,2023-04-04,5,540,210.14
68,1080.0,Vada Pav,"['Tomato', 'Coriander', 'Dahi']","['Extra Cheese', 'Ice Cream']",Navratri,2024-04-05,4,512,181.23
69,1099.0,Pav Bhaji,"['Anar Seeds', 'Cheese']",['Papad'],Rainy,2024-04-01,3,543,191.31
70,1043.0,Idli Sambar,"['Coriander', 'Butter', 'Tomato']",[],Navratri,2023-04-18,3,381,90.97
71,1010.0,Pani Puri,"['Cheese', 'Onion', 'Butter']",[],Navratri,2024-02-19,4,416,160.54
72,1029.0,Pav Bhaji,['Tomato'],"['Papad', 'Extra Cheese']",Winter,2023-01-29,1,167,52.29
73,,Pav Bhaji,"['Coriander', 'Dahi', 'Butter']",['Extra Cheese'],Diwali,2023-02-05,1,103,26.95
74,1098.0,Vada Pav,[],"['French Fries', 'Chutney']",Christmas,2024-07-25,2,298,80.07
75,,Vada Pav,"['Tomato', 'Cheese']","['Cold Drink', 'French Fries']",Christmas,2023-08-09,1,112,36.84
76,,Masala Dosa,[],[],Rainy,2023-09-13,5,445,176.65
77,,Masala Dosa,"['Cheese', 'Coriander', 'Butter']","['Chutney', 'French Fries']",Christmas,2023-08-28,4,864,245.59
78,,Pani Puri,"['Tomato', 'Cheese', 'Anar Seeds']","['Papad', 'Chutney']",Navratri,2023-09-12,4,860,338.99
79,1034.0,Pani Puri,[],['French Fries'],Winter,2024-05-28,4,632,179.04
80,1017.0,Idli Sambar,['Dahi'],[],Christmas,2023-11-03,5,785,174.83
81,1002.0,Pav Bhaji,['Onion'],"['Extra Cheese', 'Papad']",Diwali,2023-03-20,1,114,25.6
82,1090.0,Pav Bhaji,['Anar Seeds'],[],Diwali,2023-01-08,1,116,43.51
83,1003.0,Masala Dosa,[],['French Fries'],Navratri,2024-01-20,1,163,61.42
84,1089.0,Idli Sambar,[],[],Holi,2023-05-08,1,89,29.65
85,1056.0,Bhel,"['Coriander', 'Tomato', 'Onion']",[],Holi,2024-07-17,3,528,199.13
86,1022.0,Pani Puri,"['Coriander', 'Dahi']",[],Navratri,2024-01-23,3,261,60.68
87,1070.0,Sev Puri,['Dahi'],['Extra Cheese'],Navratri,2023-06-18,2,342,90.3
88,1023.0,Chole Bhature,"['Anar Seeds', 'Butter', 'Cheese']",['Ice Cream'],Holi,2023-06-17,4,560,177.26
89,1057.0,Vada Pav,[],[],Summer,2024-02-22,5,670,213.17
90,1024.0,Sev Puri,"['Coriander', 'Cheese']",[],Winter,2023-03-06,5,535,170.48
91,1084.0,Pav Bhaji,"['Anar Seeds', 'Butter', 'Tomato']","['Extra Cheese', 'French Fries']",Rainy,2024-06-14,4,564,151.39
92,1083.0,Bhel,[],"['Papad', 'French Fries']",Summer,2023-10-06,4,536,159.99
93,1071.0,Pav Bhaji,['Cheese'],['French Fries'],Holi,2024-06-22,4,676,141.6
94,1065.0,Chole Bhature,[],['Chutney'],Navratri,2024-01-26,1,99,28.01
95,,Chole Bhature,[],[],Holi,2023-03-12,3,183,60.16
96,1081.0,Vada Pav,"['Onion', 'Cheese']",[],Holi,2023-04-01,1,139,45.69
97,1035.0,Sev Puri,"['Butter', 'Coriander', 'Dahi']","['Ice Cream', 'Papad']",Winter,2024-07-07,3,588,209.39
98,1061.0,Masala Dosa,[],['Cold Drink'],Rainy,2023-06-02,4,444,114.51
99,1050.0,Bhel,[],"['Cold Drink', 'Extra Cheese']",Summer,2023-10-27,1,110,25.76
100,1089.0,Chole Bhature,"['Onion', 'Coriander']",['Chutney'],Holi,2024-03-12,3,279,67.06
101,1090.0,Sev Puri,[],[],Holi,2024-04-24,5,390,86.85
102,1090.0,Pani Puri,"['Tomato', 'Butter', 'Cheese']","['Extra Cheese', 'French Fries']",Rainy,2023-12-20,1,144,43.89
103,1001.0,Sev Puri,[],"['French Fries', 'Cold Drink']",Summer,2023-10-17,4,732,291.92
104,1052.0,Chole Bhature,"['Onion', 'Cheese', 'Butter']","['Extra Cheese', 'Chutney']",Summer,2024-06-26,4,576,188.49
105,1011.0,Chole Bhature,[],"['Extra Cheese', 'Chutney']",Navratri,2024-01-16,4,496,145.63
106,1004.0,Pav Bhaji,"['Butter', 'Coriander']",['French Fries'],Diwali,2023-07-28,5,890,277.16
107,1056.0,Chole Bhature,"['Butter', 'Coriander']",[],Holi,2023-09-01,4,560,154.68
108,1006.0,Pani Puri,"['Butter', 'Onion']",['French Fries'],Christmas,2023-10-26,3,300,101.91
109,1023.0,Idli Sambar,['Anar Seeds'],"['Extra Cheese', 'Chutney']",Navratri,2023-07-27,4,712,166.55
110,1062.0,Bhel,['Coriander'],[],Navratri,2023-01-06,1,138,29.69
111,1075.0,Chole Bhature,"['Coriander', 'Butter']",['Cold Drink'],Diwali,2023-12-07,2,236,87.39
112,1016.0,Idli Sambar,['Butter'],"['Papad', 'Ice Cream']",Diwali,2023-12-09,1,197,43.79
113,1027.0,Idli Sambar,"['Tomato', 'Cheese', 'Coriander']",[],Christmas,2023-11-05,1,152,53.72
114,,Vada Pav,"['Cheese', 'Coriander', 'Tomato']",['Extra Cheese'],Holi,2023-11-07,5,895,217.46
115,1100.0,Vada Pav,"['Coriander', 'Butter']","['Papad', 'French Fries']",Christmas,2024-08-09,1,142,34.65
116,1037.0,Chole Bhature,"['Dahi', 'Cheese', 'Coriander']","['French Fries', 'Papad']",Winter,2023-12-28,4,632,246.85
117,1072.0,Pani Puri,"['Anar Seeds', 'Cheese']","['French Fries', 'Chutney']",Navratri,2023-12-01,2,416,109.29
118,1033.0,Chole Bhature,"['Butter', 'Anar Seeds']",[],Rainy,2023-10-29,5,355,137.37
119,1047.0,Idli Sambar,['Tomato'],['Cold Drink'],Rainy,2023-12-11,2,222,69.23
120,1075.0,Idli Sambar,[],[],Navratri,2023-05-28,3,171,49.11
121,1082.0,Idli Sambar,"['Dahi', 'Onion', 'Anar Seeds']",[],Diwali,2023-06-17,1,110,39.78
122,,Sev Puri,[],"['Ice Cream', 'French Fries']",Winter,2023-07-15,4,696,203.8
123,,Bhel,"['Dahi', 'Butter']",[],Summer,2024-01-22,5,660,230.11
124,1014.0,Chole Bhature,"['Butter', 'Dahi']",[],Diwali,2024-03-23,1,139,30.79
125,1061.0,Idli Sambar,['Anar Seeds'],['French Fries'],Navratri,2023-10-21,3,396,96.12
126,1058.0,Chole Bhature,[],['Extra Cheese'],Winter,2023-05-23,3,237,79.35
127,,Idli Sambar,['Tomato'],['Extra Cheese'],Navratri,2024-01-23,4,716,213.64
128,,Vada Pav,"['Dahi', 'Butter', 'Onion']","['Ice Cream', 'French Fries']",Navratri,2023-06-26,3,360,97.46
129,1054.0,Vada Pav,"['Cheese', 'Tomato']",['Cold Drink'],Christmas,2024-06-21,1,131,31.61
130,1006.0,Bhel,[],[],Winter,2023-10-27,1,98,31.9
131,1000.0,Bhel,['Butter'],[],Winter,2023-07-31,3,225,61.45
132,1044.0,Idli Sambar,"['Dahi', 'Butter', 'Onion']",[],Diwali,2024-05-24,4,392,108.02
133,,Chole Bhature,"['Coriander', 'Tomato']","['Cold Drink', 'Ice Cream']",Holi,2023-01-14,1,136,42.89
134,1001.0,Pav Bhaji,[],['Papad'],Navratri,2023-06-04,4,668,259.75
135,1023.0,Sev Puri,"['Butter', 'Coriander']",[],Navratri,2024-02-20,1,130,43.7
136,1012.0,Pani Puri,"['Butter', 'Anar Seeds']",[],Navratri,2023-03-23,4,288,69.68
137,1055.0,Pav Bhaji,['Cheese'],[],Diwali,2023-01-14,3,294,99.32
138,1046.0,Vada Pav,"['Cheese', 'Butter']",['Ice Cream'],Summer,2023-12-06,2,300,114.75
139,,Idli Sambar,"['Cheese', 'Onion']",[],Holi,2024-07-30,2,328,82.26
140,1027.0,Sev Puri,[],[],Diwali,2023-04-11,3,375,148.33
141,1040.0,Vada Pav,"['Anar Seeds', 'Onion', 'Cheese']",['Papad'],Christmas,2023-09-19,2,332,121.24
142,1081.0,Idli Sambar,['Cheese'],['Extra Cheese'],Christmas,2024-05-22,2,312,81.06
143,1088.0,Pav Bhaji,"['Anar Seeds', 'Coriander']",[],Christmas,2023-08-15,5,360,74.73
144,1027.0,Masala Dosa,"['Anar Seeds', 'Tomato']",['French Fries'],Holi,2023-10-24,1,167,42.59
145,1069.0,Chole Bhature,['Dahi'],"['Cold Drink', 'Ice Cream']",Rainy,2023-06-24,5,795,170.69
146,1067.0,Pav Bhaji,"['Cheese', 'Onion', 'Butter']",['French Fries'],Diwali,2024-02-06,5,635,245.7
147,1004.0,Idli Sambar,"['Dahi', 'Tomato']","['Chutney', 'Papad']",Winter,2023-12-24,1,130,45.7
148,1055.0,Pav Bhaji,['Onion'],['Chutney'],Navratri,2024-07-14,3,285,94.9
149,1017.0,Chole Bhature,['Cheese'],['Papad'],Holi,2023-08-09,1,95,31.28
150,1067.0,Pani Puri,['Butter'],"['Chutney', 'French Fries']",Christmas,2024-03-12,4,564,197.17
151,,Masala Dosa,"['Cheese', 'Anar Seeds', 'Butter']","['Ice Cream', 'Papad']",Holi,2024-01-10,3,582,192.25
152,1096.0,Sev Puri,['Onion'],[],Diwali,2023-06-23,5,740,279.1
153,,Bhel,[],"['Ice Cream', 'Chutney']",Holi,2024-01-11,5,675,187.7
154,1100.0,Idli Sambar,"['Butter', 'Cheese', 'Anar Seeds']",['French Fries'],Summer,2023-08-09,4,480,108.31
155,,Pav Bhaji,['Onion'],['Cold Drink'],Winter,2023-07-18,2,244,84.26
156,1028.0,Pani Puri,[],[],Rainy,2023-11-15,1,79,31.44
157,,Bhel,"['Anar Seeds', 'Coriander']","['Extra Cheese', 'Ice Cream']",Diwali,2024-04-29,1,144,41.38
158,1040.0,Masala Dosa,[],['Chutney'],Diwali,2023-11-17,1,113,42.13
159,1088.0,Idli Sambar,"['Butter', 'Coriander']","['Chutney', 'French Fries']",Rainy,2024-06-06,4,804,229.31
160,1016.0,Bhel,['Tomato'],[],Holi,2023-07-22,1,84,19.0
161,1007.0,Chole Bhature,"['Cheese', 'Coriander', 'Dahi']","['Cold Drink', 'Extra Cheese']",Navratri,2024-01-08,3,459,133.71
162,1005.0,Masala Dosa,['Cheese'],['Extra Cheese'],Navratri,2024-05-24,3,330,131.14
163,1065.0,Idli Sambar,"['Coriander', 'Anar Seeds']",['Cold Drink'],Winter,2023-09-07,5,935,262.75
164,,Pav Bhaji,['Anar Seeds'],['Papad'],Holi,2023-09-10,3,351,87.28
165,,Pani Puri,['Tomato'],['Extra Cheese'],Christmas,2024-03-13,1,106,28.49
166,1061.0,Pav Bhaji,"['Coriander', 'Dahi']",['French Fries'],Rainy,2023-02-06,1,167,52.24
167,,Masala Dosa,"['Tomato', 'Coriander', 'Anar Seeds']","['Ice Cream', 'Papad']",Holi,2023-12-22,4,608,202.68
168,1045.0,Masala Dosa,"['Coriander', 'Anar Seeds', 'Cheese']","['Ice Cream', 'Papad']",Rainy,2023-07-09,2,310,79.44
169,1011.0,Chole Bhature,['Dahi'],['Extra Cheese'],Christmas,2023-12-05,2,180,51.9
170,1027.0,Vada Pav,"['Coriander', 'Cheese']","['Chutney', 'Cold Drink']",Navratri,2024-08-03,3,423,122.31
171,1046.0,Pani Puri,"['Cheese', 'Dahi']",['French Fries'],Holi,2024-07-09,4,760,290.93
172,1037.0,Bhel,"['Butter', 'Tomato', 'Dahi']","['Extra Cheese', 'Cold Drink']",Holi,2024-07-27,5,1020,330.71
173,1074.0,Sev Puri,['Tomato'],['French Fries'],Holi,2023-08-25,3,312,77.64
174,1088.0,Sev Puri,[],"['Chutney', 'Papad']",Navratri,2023-08-06,4,372,79.21
175,1086.0,Bhel,['Butter'],[],Holi,2024-01-07,2,136,30.03
176,1070.0,Sev Puri,"['Butter', 'Dahi', 'Anar Seeds']","['Ice Cream', 'Extra Cheese']",Winter,2024-03-28,4,844,232.25
177,1024.0,Vada Pav,"['Dahi', 'Coriander']","['Extra Cheese', 'Ice Cream']",Diwali,2024-05-18,2,328,86.47
178,1032.0,Sev Puri,"['Onion', 'Anar Seeds']",['Papad'],Holi,2024-06-08,2,272,88.19
179,1021.0,Vada Pav,"['Coriander', 'Onion']",['Cold Drink'],Christmas,2023-01-16,5,925,242.34
180,1009.0,Masala Dosa,"['Cheese', 'Butter']",['Ice Cream'],Winter,2024-03-04,3,360,118.38
181,1026.0,Chole Bhature,[],"['French Fries', 'Ice Cream']",Rainy,2024-08-03,5,865,196.73
182,1023.0,Vada Pav,[],[],Navratri,2023-04-09,5,705,214.87
183,1060.0,Sev Puri,['Dahi'],"['Cold Drink', 'French Fries']",Holi,2024-07-09,1,180,58.04
184,1085.0,Pani Puri,['Anar Seeds'],"['Cold Drink', 'Papad']",Rainy,2023-06-24,4,572,226.07
185,1089.0,Idli Sambar,[],"['French Fries', 'Cold Drink']",Winter,2024-06-05,3,420,100.87
186,,Sev Puri,[],"['French Fries', 'Chutney']",Navratri,2024-08-15,2,250,69.22
187,1090.0,Bhel,['Dahi'],[],Navratri,2023-12-17,1,62,20.5
188,1040.0,Sev Puri,"['Anar Seeds', 'Dahi']",['French Fries'],Winter,2024-08-03,5,590,222.85
189,1017.0,Pav Bhaji,"['Tomato', 'Butter']","['French Fries', 'Chutney']",Diwali,2024-08-18,2,304,101.55
190,,Masala Dosa,"['Tomato', 'Cheese', 'Anar Seeds']",['French Fries'],Diwali,2023-12-02,3,429,133.32
191,1063.0,Vada Pav,[],['Chutney'],Winter,2023-06-23,2,244,69.99
192,,Masala Dosa,"['Onion', 'Cheese']",['Ice Cream'],Diwali,2023-07-11,2,244,67.49
193,,Pani Puri,"['Butter', 'Dahi', 'Cheese']","['French Fries', 'Chutney']",Navratri,2023-01-10,5,970,199.63
194,1000.0,Pav Bhaji,"['Coriander', 'Cheese']","['French Fries', 'Chutney']",Winter,2024-04-13,3,396,125.76
195,1021.0,Bhel,"['Onion', 'Dahi', 'Coriander']","['French Fries', 'Extra Cheese']",Navratri,2024-02-16,3,387,126.57
196,,Vada Pav,"['Butter', 'Cheese', 'Tomato']",['Chutney'],Rainy,2023-08-21,2,264,57.74
197,1068.0,Vada Pav,['Tomato'],[],Summer,2023-11-05,2,218,75.28
198,1067.0,Sev Puri,[],"['Chutney', 'French Fries']",Christmas,2023-11-23,1,112,34.18
199,1090.0,Pav Bhaji,[],['Papad'],Holi,2024-07-18,2,186,71.12
200,,Bhel,[],['French Fries'],Diwali,2023-02-09,1,102,26.05
201,,Chole Bhature,"['Butter', 'Anar Seeds', 'Tomato']","['Ice Cream', 'French Fries']",Holi,2023-08-28,2,380,133.04
202,1079.0,Pani Puri,[],"['Ice Cream', 'Cold Drink']",Rainy,2023-06-19,4,432,111.51
203,,Masala Dosa,[],"['French Fries', 'Chutney']",Navratri,2023-12-01,4,460,140.57
204,1071.0,Bhel,"['Onion', 'Anar Seeds']",[],Rainy,2024-06-11,5,720,169.32
205,,Pani Puri,[],['Ice Cream'],Rainy,2024-01-24,3,240,88.64
206,1097.0,Masala Dosa,['Cheese'],[],Holi,2024-05-02,4,416,137.97
207,1049.0,Pani Puri,['Butter'],[],Navratri,2024-04-02,4,448,114.54
208,,Sev Puri,[],"['French Fries', 'Extra Cheese']",Summer,2024-02-24,2,182,42.46
209,1026.0,Pani Puri,[],['French Fries'],Christmas,2023-01-19,3,390,118.1
210,1100.0,Sev Puri,"['Butter', 'Dahi']",['Papad'],Holi,2024-01-25,3,291,58.34
211,1032.0,Sev Puri,['Anar Seeds'],[],Winter,2024-03-29,1,83,30.72
212,1038.0,Chole Bhature,"['Anar Seeds', 'Cheese']","['Extra Cheese', 'Papad']",Winter,2024-04-16,3,564,139.63
213,1012.0,Idli Sambar,"['Butter', 'Tomato', 'Dahi']",['Chutney'],Christmas,2023-07-13,2,348,116.42
214,1076.0,Pani Puri,"['Cheese', 'Coriander']",[],Navratri,2024-02-07,3,240,78.64
215,1072.0,Pani Puri,['Onion'],['Ice Cream'],Navratri,2024-02-29,2,246,69.76
216,1074.0,Vada Pav,['Anar Seeds'],"['French Fries', 'Chutney']",Rainy,2024-02-26,3,510,164.93
217,1014.0,Masala Dosa,[],['French Fries'],Summer,2024-06-14,3,210,55.12
218,1025.0,Chole Bhature,[],['Ice Cream'],Diwali,2024-07-12,2,292,95.67
219,1080.0,Idli Sambar,"['Butter', 'Onion', 'Tomato']",[],Summer,2023-06-12,5,875,232.63
220,1041.0,Masala Dosa,['Dahi'],['Cold Drink'],Christmas,2024-05-15,3,399,145.31
221,,Pav Bhaji,"['Butter', 'Cheese', 'Tomato']","['Chutney', 'Papad']",Christmas,2023-07-28,1,158,44.1
222,,Vada Pav,[],[],Diwali,2024-04-22,3,165,55.57
223,,Pav Bhaji,"['Butter', 'Anar Seeds']","['Ice Cream', 'French Fries']",Holi,2023-01-02,5,820,282.36
224,1041.0,Bhel,['Onion'],['Papad'],Navratri,2023-12-29,4,580,208.24
225,1020.0,Pani Puri,"['Dahi', 'Butter', 'Anar Seeds']",[],Summer,2023-09-19,3,249,94.8
226,1033.0,Bhel,"['Cheese', 'Coriander', 'Dahi']",['Papad'],Winter,2023-08-22,2,220,79.16
227,1048.0,Idli Sambar,"['Tomato', 'Anar Seeds', 'Butter']",['Extra Cheese'],Winter,2023-08-23,4,696,234.81
228,1098.0,Vada Pav,"['Butter', 'Cheese']",['Chutney'],Rainy,2023-06-29,5,610,123.37
229,1016.0,Chole Bhature,"['Butter', 'Dahi', 'Coriander']",[],Winter,2024-07-12,1,165,39.38
230,1028.0,Sev Puri,"['Tomato', 'Dahi', 'Butter']","['Chutney', 'Ice Cream']",Navratri,2024-06-28,1,157,44.88
231,1018.0,Sev Puri,['Dahi'],"['Extra Cheese', 'Chutney']",Winter,2023-07-23,1,188,64.97
232,1050.0,Idli Sambar,"['Tomato', 'Butter', 'Cheese']","['Ice Cream', 'Extra Cheese']",Summer,2023-03-06,3,513,119.34
233,,Pani Puri,[],['Papad'],Diwali,2023-09-11,1,144,55.17
234,1083.0,Masala Dosa,"['Cheese', 'Tomato']",['Ice Cream'],Holi,2023-05-23,5,810,257.06
235,,Sev Puri,"['Coriander', 'Anar Seeds', 'Tomato']",[],Navratri,2023-03-20,2,258,84.16
236,1093.0,Idli Sambar,['Dahi'],[],Diwali,2023-09-28,5,580,169.4
237,1047.0,Pani Puri,"['Cheese', 'Tomato', 'Onion']",[],Winter,2023-08-17,1,160,42.36
238,,Pani Puri,"['Butter', 'Dahi']","['French Fries', 'Cold Drink']",Navratri,2024-02-28,5,550,131.22
239,1024.0,Chole Bhature,"['Coriander', 'Butter']",[],Diwali,2024-05-20,1,98,27.89
240,1072.0,Pani Puri,"['Dahi', 'Anar Seeds', 'Tomato']",[],Navratri,2024-04-20,1,177,69.24
241,1041.0,Chole Bhature,['Dahi'],[],Winter,2024-05-07,4,548,217.66
242,1090.0,Pani Puri,"['Cheese', 'Coriander']",[],Navratri,2024-04-15,4,504,182.5
243,,Pani Puri,['Coriander'],['Chutney'],Christmas,2024-01-02,4,360,143.89
244,1089.0,Pani Puri,[],['Papad'],Diwali,2024-05-11,4,404,97.56
245,1021.0,Pav Bhaji,[],[],Navratri,2023-06-13,3,207,77.97
246,1018.0,Pav Bhaji,[],['Extra Cheese'],Christmas,2024-04-17,2,204,76.8
247,1005.0,Sev Puri,[],['Cold Drink'],Summer,2023-02-13,5,815,319.92
248,,Vada Pav,[],['Extra Cheese'],Winter,2023-06-29,4,392,84.8
249,1076.0,Pani Puri,[],"['Ice Cream', 'Extra Cheese']",Winter,2023-11-20,2,332,80.29
250,1044.0,Pani Puri,[],['French Fries'],Rainy,2023-04-10,5,400,158.4
251,1005.0,Masala Dosa,['Tomato'],"['Papad', 'French Fries']",Christmas,2024-04-09,1,189,55.32
252,1067.0,Bhel,"['Tomato', 'Dahi', 'Butter']",[],Navratri,2024-02-26,1,171,53.66
253,1060.0,Pani Puri,"['Cheese', 'Coriander']",['Extra Cheese'],Holi,2023-11-22,5,505,141.38
254,1078.0,Sev Puri,"['Dahi', 'Tomato', 'Cheese']",[],Navratri,2023-10-12,3,315,82.0
255,,Bhel,"['Butter', 'Dahi']",['Cold Drink'],Diwali,2023-05-16,4,528,126.82
256,1066.0,Sev Puri,['Coriander'],"['Papad', 'Cold Drink']",Christmas,2023-11-27,2,258,74.89
257,,Pani Puri,"['Cheese', 'Tomato', 'Coriander']","['French Fries', 'Ice Cream']",Winter,2023-04-25,2,264,103.91
258,1096.0,Pav Bhaji,"['Dahi', 'Tomato']","['French Fries', 'Cold Drink']",Rainy,2024-08-01,5,1005,230.31
