dish_id,dish_name,category,base_price,available_toppings,available_addons
107,Jalebi,Drink,208,['Anar Seeds'],"['Extra Cheese', 'Ice Cream', 'Papad', 'Chutney', 'Cold Drink', 'French Fries']"
108,Chicken Curry,Drink,164,"['Coriander', 'Tomato', 'Cheese', 'Anar Seeds', 'Dahi']","['Papad', 'Extra Cheese', 'French Fries', 'Ice Cream', 'Chutney']"
109,Dhokla,Main Course,65,"['Butter', 'Onion', 'Dahi', 'Cheese', 'Tomato', 'Anar Seeds']","['French Fries', 'Ice Cream']"
110,Sev Puri,Dessert,232,"['Anar Seeds', 'Dahi', 'Butter']",['Cold Drink']
111,Samosa,Street Food,174,"['Tomato', 'Butter', 'Onion', 'Coriander', 'Anar Seeds', 'Dahi']","['Chutney', 'Extra Cheese']"
112,Idli Sambar,Drink,164,"['Butter', 'Dahi']","['Papad', 'Extra Cheese', 'Ice Cream']"
113,Samosa,Snack,295,"['Tomato', 'Coriander', 'Dahi', 'Onion', 'Anar Seeds', 'Cheese']","['Cold Drink', 'Chutney', 'Ice Cream', 'French Fries']"
114,Jalebi,Main Course,166,"['Coriander', 'Tomato', 'Onion']",['Extra Cheese']
115,Fish Fry,Main Course,242,"['Anar Seeds', 'Butter']","['French Fries', 'Cold Drink', 'Extra Cheese']"
116,Chicken Curry,Dessert,147,"['Dahi', 'Coriander', 'Anar Seeds', 'Onion', 'Cheese']","['Chutney', 'Papad', 'Cold Drink']"
117,Paneer Tikka,Street Food,102,"['Butter', 'Dahi', 'Tomato', 'Cheese', 'Coriander', 'Onion']","['Extra Cheese', 'Ice Cream']"
118,Dal Tadka,Main Course,66,"['Onion', 'Cheese', 'Coriander', 'Dahi', 'Butter']","['Ice Cream', 'Papad', 'Chutney']"
119,Paneer Tikka,Snack,270,"['Butter', 'Cheese', 'Dahi', 'Coriander', 'Onion', 'Anar Seeds']","['Ice Cream', 'Papad', 'French Fries', 'Chutney', 'Extra Cheese']"
120,Jalebi,Street Food,229,"['Dahi', 'Onion', 'Tomato', 'Anar Seeds', 'Butter', 'Cheese']","['Papad', 'French Fries']"
121,Bhel,Street Food,231,"['Onion', 'Anar Seeds', 'Butter', 'Cheese', 'Tomato']","['Ice Cream', 'Chutney', 'Extra Cheese', 'Cold Drink', 'French Fries', 'Papad']"
122,Pani Puri,Dessert,142,"['Butter', 'Cheese', 'Tomato', 'Coriander', 'Anar Seeds', 'Dahi', 'Onion']","['Cold Drink', 'Extra Cheese']"
123,Butter Naan,Snack,96,"['Coriander', 'Onion', 'Cheese', 'Dahi']","['Papad', 'Extra Cheese']"
124,Paneer Tikka,Drink,93,['Tomato'],"['Extra Cheese', 'French Fries', 'Papad', 'Ice Cream', 'Chutney', 'Cold Drink']"
125,Poha,Drink,129,"['Tomato', 'Butter', 'Coriander']",['Ice Cream']
126,Sev Puri,Main Course,281,"['Tomato', 'Dahi', 'Cheese', 'Coriander']","['Extra Cheese', 'Ice Cream', 'Cold Drink']"
127,Thali,Street Food,133,['Cheese'],"['Cold Drink', 'Extra Cheese']"
128,Upma,Dessert,43,['Coriander'],"['Extra Cheese', 'Chutney', 'Ice Cream', 'Cold Drink', 'Papad', 'French Fries']"
129,Aloo Tikki,Dessert,238,"['Tomato', 'Coriander', 'Onion']",['Papad']
130,Samosa,Snack,155,['Dahi'],"['Chutney', 'Cold Drink', 'Papad', 'Extra Cheese', 'French Fries', 'Ice Cream']"
131,Poha,Dessert,179,"['Onion', 'Dahi']","['Papad', 'French Fries']"
132,Dhokla,Drink,129,"['Onion', 'Tomato', 'Anar Seeds', 'Butter', 'Dahi']","['Chutney', 'Extra Cheese', 'French Fries', 'Cold Drink', 'Papad', 'Ice Cream']"
133,Veg Biryani,Drink,260,['Anar Seeds'],"['Cold Drink', 'French Fries', 'Ice Cream', 'Extra Cheese', 'Chutney']"
134,Rasgulla,Snack,219,"['Cheese', 'Dahi', 'Anar Seeds', 'Butter', 'Coriander', 'Tomato']",['Cold Drink']
135,Vada Pav,Drink,50,"['Coriander', 'Butter']","['French Fries', 'Chutney', 'Ice Cream']"
136,Gulab Jamun,Snack,286,"['Anar Seeds', 'Dahi', 'Butter', 'Cheese']",['Ice Cream']
137,Idli Sambar,Dessert,163,"['Onion', 'Tomato', 'Cheese', 'Dahi', 'Coriander', 'Anar Seeds']","['Papad', 'French Fries', 'Chutney', 'Extra Cheese']"
138,Idli Sambar,Main Course,189,['Dahi'],['Chutney']
139,Cold Coffee,Drink,87,"['Cheese', 'Dahi', 'Tomato', 'Anar Seeds']","['Chutney', 'French Fries', 'Extra Cheese', 'Papad', 'Ice Cream', 'Cold Drink']"
140,Poha,Snack,290,"['Butter', 'Tomato', 'Coriander']","['Extra Cheese', 'French Fries', 'Chutney', 'Cold Drink', 'Ice Cream', 'Papad']"
141,Paratha,Snack,73,"['Cheese', 'Dahi', 'Coriander', 'Butter']","['Papad', 'Chutney', 'Extra Cheese', 'French Fries', 'Cold Drink']"
142,Gulab Jamun,Snack,134,"['Onion', 'Dahi', 'Anar Seeds', 'Butter', 'Tomato', 'Coriander']","['Extra Cheese', 'Chutney', 'Ice Cream']"
143,Pani Puri,Snack,112,"['Tomato', 'Dahi']","['Cold Drink', 'Extra Cheese', 'French Fries', 'Ice Cream', 'Chutney']"
144,Misal Pav,Main Course,66,"['Anar Seeds', 'Coriander', 'Cheese']","['Papad', 'Cold Drink', 'Extra Cheese', 'Ice Cream', 'French Fries', 'Chutney']"
145,Vada Pav,Snack,255,['Cheese'],['French Fries']
146,Jalebi,Main Course,293,"['Coriander', 'Cheese', 'Anar Seeds', 'Tomato', 'Dahi', 'Butter']","['Ice Cream', 'Chutney', 'Papad', 'Extra Cheese']"
147,Butter Naan,Drink,182,"['Onion', 'Butter', 'Anar Seeds', 'Tomato', 'Dahi', 'Cheese', 'Coriander']","['Papad', 'Cold Drink', 'French Fries', 'Extra Cheese', 'Chutney', 'Ice Cream']"
148,Paneer Tikka,Dessert,121,"['Onion', 'Anar Seeds', 'Tomato', 'Coriander']","['Papad', 'Ice Cream', 'French Fries']"
149,Lassi,Snack,110,"['Coriander', 'Butter', 'Tomato']","['Chutney', 'French Fries', 'Ice Cream', 'Cold Drink']"
150,Butter Naan,Snack,41,['Onion'],"['Cold Drink', 'Papad', 'Chutney', 'Ice Cream']"
151,Vada Pav,Drink,176,"['Dahi', 'Butter', 'Coriander', 'Anar Seeds', 'Onion']",['Ice Cream']
152,Sev Puri,Drink,132,"['Onion', 'Tomato', 'Anar Seeds']","['Extra Cheese', 'Papad', 'French Fries', 'Ice Cream', 'Cold Drink']"
153,Samosa,Drink,116,"['Cheese', 'Coriander', 'Onion', 'Tomato', 'Dahi']","['Cold Drink', 'Ice Cream', 'Extra Cheese', 'Papad']"
154,Sev Puri,Drink,282,"['Cheese', 'Coriander', 'Anar Seeds', 'Tomato', 'Onion', 'Dahi']","['Cold Drink', 'Extra Cheese', 'French Fries', 'Ice Cream', 'Papad']"
155,Misal Pav,Street Food,268,"['Onion', 'Anar Seeds', 'Coriander', 'Tomato']","['Papad', 'Chutney']"
156,Chai,Main Course,297,"['Tomato', 'Dahi']",['Chutney']
157,Pani Puri,Snack,218,"['Anar Seeds', 'Onion']",['Chutney']
158,Paneer Tikka,Street Food,200,['Anar Seeds'],"['Chutney', 'Extra Cheese']"
159,Ice Cream,Main Course,291,"['Coriander', 'Onion', 'Dahi', 'Anar Seeds']","['Papad', 'Extra Cheese', 'Ice Cream', 'French Fries', 'Chutney', 'Cold Drink']"
160,Paneer Tikka,Main Course,193,"['Coriander', 'Anar Seeds', 'Tomato', 'Onion', 'Cheese', 'Butter', 'Dahi']","['Papad', 'Cold Drink', 'French Fries']"
161,Aloo Tikki,Drink,83,['Coriander'],"['Chutney', 'Papad', 'French Fries']"
162,Fish Fry,Street Food,115,"['Dahi', 'Onion', 'Coriander', 'Cheese', 'Butter', 'Tomato', 'Anar Seeds']","['French Fries', 'Ice Cream', 'Chutney', 'Extra Cheese', 'Papad']"
163,Misal Pav,Street Food,297,"['Butter', 'Tomato', 'Cheese', 'Dahi']","['Cold Drink', 'French Fries', 'Ice Cream', 'Extra Cheese']"
164,Masala Dosa,Main Course,208,"['Cheese', 'Onion', 'Butter', 'Dahi', 'Anar Seeds', 'Tomato']","['Extra Cheese', 'Papad', 'Cold Drink']"
165,Cold Coffee,Main Course,46,"['Cheese', 'Onion', 'Dahi', 'Anar Seeds', 'Tomato', 'Coriander', 'Butter']","['Cold Drink', 'Extra Cheese', 'French Fries', 'Chutney']"
166,Chole Bhature,Dessert,250,"['Butter', 'Dahi', 'Tomato', 'Anar Seeds', 'Cheese']","['Ice Cream', 'Cold Drink']"
167,Idli Sambar,Main Course,169,"['Cheese', 'Onion']","['Extra Cheese', 'Ice Cream', 'French Fries']"
168,Samosa,Drink,255,['Coriander'],['Cold Drink']
169,Gulab Jamun,Dessert,140,"['Butter', 'Tomato', 'Dahi', 'Onion', 'Anar Seeds', 'Cheese']","['Extra Cheese', 'Ice Cream', 'Chutney']"
170,Jalebi,Dessert,122,"['Onion', 'Butter', 'Anar Seeds', 'Dahi']","['Extra Cheese', 'Chutney', 'French Fries', 'Papad', 'Ice Cream']"
171,Chicken Curry,Main Course,101,"['Anar Seeds', 'Dahi', 'Coriander', 'Onion', 'Cheese', 'Butter']","['Chutney', 'French Fries', 'Extra Cheese']"
172,Bhel,Street Food,285,"['Coriander', 'Onion', 'Tomato', 'Dahi']","['Chutney', 'French Fries', 'Extra Cheese', 'Papad', 'Cold Drink', 'Ice Cream']"
173,Fish Fry,Snack,158,"['Tomato', 'Anar Seeds']","['Ice Cream', 'French Fries', 'Papad', 'Cold Drink', 'Extra Cheese']"
174,Chicken Curry,Drink,144,['Butter'],['Extra Cheese']
175,Chole Bhature,Street Food,196,"['Onion', 'Cheese', 'Coriander', 'Tomato']","['Extra Cheese', 'French Fries', 'Ice Cream']"
176,Vada Pav,Street Food,174,"['Onion', 'Cheese']","['Papad', 'Cold Drink', 'French Fries', 'Ice Cream', 'Extra Cheese', 'Chutney']"
177,Bhel,Snack,158,"['Coriander', 'Dahi']","['French Fries', 'Cold Drink', 'Chutney', 'Ice Cream', 'Papad', 'Extra Cheese']"
178,Falooda,Drink,183,"['Dahi', 'Anar Seeds', 'Cheese', 'Tomato', 'Onion', 'Coriander']","['Chutney', 'Papad', 'Ice Cream', 'French Fries', 'Extra Cheese', 'Cold Drink']"
179,Falooda,Drink,243,['Anar Seeds'],"['Extra Cheese', 'Chutney', 'Cold Drink', 'Ice Cream', 'Papad']"
180,Aloo Tikki,Main Course,44,['Anar Seeds'],"['Extra Cheese', 'Cold Drink', 'Papad']"
181,Bhel,Snack,69,"['Dahi', 'Onion']","['Cold Drink', 'French Fries', 'Ice Cream']"
182,Poha,Dessert,77,"['Dahi', 'Onion', 'Butter', 'Coriander']","['Cold Drink', 'Chutney', 'Extra Cheese', 'Papad']"
183,Veg Biryani,Drink,182,"['Anar Seeds', 'Onion', 'Coriander', 'Butter']","['Extra Cheese', 'Chutney', 'Cold Drink', 'Papad']"
184,Jalebi,Drink,294,"['Anar Seeds', 'Coriander', 'Tomato', 'Cheese', 'Butter', 'Onion', 'Dahi']","['Extra Cheese', 'Papad', 'Chutney', 'Ice Cream', 'French Fries']"
185,Lassi,Drink,199,"['Tomato', 'Onion', 'Cheese']","['Cold Drink', 'French Fries', 'Papad', 'Chutney', 'Ice Cream']"
186,Misal Pav,Street Food,191,['Cheese'],['Papad']
187,Jalebi,Street Food,191,"['Anar Seeds', 'Dahi', 'Coriander', 'Onion', 'Tomato', 'Butter']","['Papad', 'Cold Drink', 'Ice Cream']"
188,Bhel,Snack,300,"['Anar Seeds', 'Coriander']","['Papad', 'Cold Drink', 'Chutney', 'French Fries', 'Extra Cheese', 'Ice Cream']"
189,Upma,Drink,269,"['Tomato', 'Cheese', 'Anar Seeds']","['Cold Drink', 'Extra Cheese', 'Papad', 'Ice Cream']"
190,Cold Coffee,Snack,293,['Butter'],"['Chutney', 'Extra Cheese', 'Papad', 'French Fries', 'Cold Drink', 'Ice Cream']"
